Disciplinary Actions - On campus
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,8,98,663
2009,200004,Western Carolina University,1,Main Campus,9429,1,45,147
2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,3,10,5
2010,197869,Appalachian State University,1,Main Campus,17222,6,87,329
2010,197869,Appalachian State University,2,NCCET,17222,0,0,0
2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0
2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0
2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0
2010,198464,East Carolina University,1,East Carolina University,27783,19,91,659
2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,0,0
2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,3,14,26
2010,198543,Fayetteville State University,1,Fayetteville State University,5781,13,18,21
2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,2,2,7
2010,199157,North Carolina Central University,1,North Carolina Central University,8645,1,9,28
2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,1,80,165
2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,41,64
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,3,326
2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,5,143,418
2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,16,85
2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,4,41,59
2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,18,8
2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,12,161,598
2010,200004,Western Carolina University,1,Main Campus,9407,4,92,245
2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,9,130,24
2011,197869,Appalachian State University,1,Main Campus,17344,5,145,504
2011,197869,Appalachian State University,2,NCCET,17344,0,0,0
2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0
2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0
2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0
2011,198464,East Carolina University,1,East Carolina University,27386,13,143,712
2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,0
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,1,15,11
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,5,25,17
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,5,31,7
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,1,59,26
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,4,103,493
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,32,70
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,6,370
2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,6,126,521
2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,22,161
2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,78,73
2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,30,22
2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,9,116,623
2011,200004,Western Carolina University,1,Main Campus,9352,3,80,180
2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,2,43,30
2012,197869,Appalachian State University,1,Main Campus,17589,3,133,417
2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0
2012,198464,East Carolina University,1,East Carolina University,26947,5,155,566
2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0
2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,1,19,16
2012,198543,Fayetteville State University,1,Fayetteville State University,6060,7,65,21
2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,3,17,14
2012,199157,North Carolina Central University,1,North Carolina Central University,8604,7,82,50
2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,8,78,477
2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,2,73,127
2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,1,19,367
2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,4,126,273
2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,17,176
2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,18,165,93
2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,1,8,20
2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,5,128,601
2012,200004,Western Carolina University,1,Main Campus,9608,0,99,301
2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,4,70,31
