Institution name,2005,2006,2007,2008,2009,2010,2011,2012
Appalachian State University,23,45,32,23,29,28,18,28
East Carolina University,40,60,59,47,31,18,32,20
North Carolina State University at Raleigh,125,126,87,81,52,65,75,59
University of North Carolina at Chapel Hill,66,62,28,26,27,52,58,70
University of North Carolina at Greensboro,54,54,50,53,25,24,21,15
University of North Carolina Wilmington,48,52,71,64,37,30,24,21
