ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
59,2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,0,0,5,0,9,7,51,9,0,81
60,2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,0,0,0,1,1,6,0,0,8
61,2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,4,0,3,8,6,5,0,26
62,2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,0,0,2,0,5,6,97,13,2,125
63,2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,0,0,0,1,1,47,3,1,53
64,2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,0,0,0,0,0,0,11,1,0,12
65,2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,0,0,0,0,0,0,5,3,0,8
66,2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,0,1,0,0,2,58,3,0,64
67,2008,200004,Western Carolina University,1,Main Campus,9050,0,0,1,0,0,5,23,2,0,31
68,2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,0,0,0,0,2,0,40,3,0,45
69,2009,197869,Appalachian State University,1,Main Campus,16968,0,0,5,0,0,0,22,2,0,29
70,2009,198464,East Carolina University,1,East Carolina University,27654,0,0,11,0,0,3,10,4,3,31
71,2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0,0,0,0,0,1,0,1
72,2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,0,0,0,0,1,1,22,0,0,24
73,2009,198543,Fayetteville State University,1,Fayetteville State University,6283,0,0,0,0,3,1,32,13,0,49
74,2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,0,0,0,3,2,10,6,1,22
75,2009,199157,North Carolina Central University,1,North Carolina Central University,8587,0,0,2,0,3,4,36,7,0,52
76,2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,0,0,5,0,5,4,29,8,1,52
77,2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,0,3,0,1,1,12,0,0,17
78,2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,6,0,2,5,10,4,0,27
79,2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,0,0,4,2,4,1,67,20,2,100
80,2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,0,0,0,0,0,1,21,3,0,25
81,2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,0,0,2,0,1,15,2,0,20
82,2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,1,0,0,0,6,2,0,9
83,2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,2,0,1,1,31,2,0,37
84,2009,200004,Western Carolina University,1,Main Campus,9429,0,0,3,0,0,1,28,2,0,34
85,2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,0,0,0,0,6,2,78,5,0,91
86,2010,197869,Appalachian State University,1,Main Campus,17222,0,0,3,0,1,1,21,1,1,28
87,2010,197869,Appalachian State University,2,NCCET,17222,0,0,0,0,0,0,0,0,0,0
88,2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0,0,0,0,0,0,0,0
89,2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0,0,0,0,0,0,0,0
90,2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0,0,0,0,0,0,0,0
91,2010,198464,East Carolina University,1,East Carolina University,27783,0,0,4,0,3,1,8,1,1,18
92,2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,0,0,0,0,0,0,0,0,0
93,2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0,0,5,1,1,0,0,7
94,2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,3,0,2,1,25,8,1,40
95,2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,0,1,0,1,0,5,4,0,11
96,2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,0,2,0,0,1,19,2,0,24
97,2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,5,0,1,12,34,13,0,65
98,2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,0,3,0,0,1,13,0,1,18
99,2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,19,0,1,4,28,0,0,52
100,2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,0,0,2,0,0,1,109,10,6,128
101,2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,0,0,0,0,0,23,1,0,24
102,2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,0,0,0,0,0,0,29,3,0,32
103,2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,5,0,0,5
104,2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,0,3,0,0,2,16,8,1,30
105,2010,200004,Western Carolina University,1,Main Campus,9407,0,0,5,0,0,3,38,0,0,46
106,2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,0,6,0,5,2,10,3,0,26
107,2011,197869,Appalachian State University,1,Main Campus,17344,0,0,4,0,1,0,11,2,0,18
108,2011,197869,Appalachian State University,2,NCCET,17344,0,0,0,0,0,0,0,0,0,0
109,2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0,0,0,0,0,0,0,0
110,2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0,0,0,0,0,0,0,0
111,2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0,0,0,0,0,0,0,0
112,2011,198464,East Carolina University,1,East Carolina University,27386,0,0,8,0,4,2,16,2,0,32
113,2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,0,1,0,0,0,1,0,0,2
114,2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,0,1,0,3,7,25,0,0,36
115,2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,0,0,0,7,1,44,6,1,59
116,2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,0,4,0,2,3,4,3,0,16
117,2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,0,5,0,3,4,32,3,0,47
118,2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,0,0,7,0,6,9,41,12,0,75
119,2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,3,0,0,0,9,0,0,12
120,2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,12,0,3,3,36,3,1,58
121,2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,0,2,0,6,1,65,9,0,83
122,2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,3,3,14,1,0,21
123,2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,1,0,3,1,14,0,0,19
124,2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,2,0,1,0,1,0,0,4
125,2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,3,0,0,0,18,3,0,24
126,2011,200004,Western Carolina University,1,Main Campus,9352,0,0,3,0,0,1,23,0,0,27
127,2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,0,0,0,1,1,11,1,0,14
128,2012,197869,Appalachian State University,1,Main Campus,17589,0,0,8,0,1,0,17,0,2,28
129,2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0,0,0,0,0,0,0,0
130,2012,198464,East Carolina University,1,East Carolina University,26947,0,0,11,0,0,0,9,0,0,20
131,2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0,0,0,0,1,0,0,1
132,2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,1,0,1,2,15,2,0,21
133,2012,198543,Fayetteville State University,1,Fayetteville State University,6060,0,0,4,1,1,1,37,3,0,47
134,2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,0,0,2,0,1,2,7,0,1,13
135,2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,0,4,0,1,2,37,3,2,49
136,2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,0,2,0,8,9,29,11,0,59
137,2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,0,3,0,0,0,2,0,1,6
138,2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,21,0,1,7,29,11,1,70
139,2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,0,5,0,4,2,43,2,1,57
140,2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,0,0,0,1,0,12,2,0,15
141,2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,3,0,1,0,10,0,0,14
142,2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,0,0,0,0,0,9,2,1,12
143,2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,3,0,1,1,12,4,0,21
144,2012,200004,Western Carolina University,1,Main Campus,9608,0,0,4,0,1,0,9,0,0,14
145,2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,1,0,3,1,10,4,0,19
