,Criminal Offenses - Public Property,,,,,,,,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Sex offenses - Non-forcible,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson,Total Offenses
58,2008,199157,North Carolina Central University,1,North Carolina Central University,8035,0,0,0,0,5,0,0,7,0,12
59,2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,0,0,0,0,0,0,0,0,0,0
60,2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,0,0,0,1,0,0,2,0,3
61,2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,1,0,1,0,0,1,0,3
62,2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,0,0,0,0,5,2,0,0,0,7
63,2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,0,0,0,1,1,0,1,0,3
64,2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,0,0,0,0,0,0,0,1,0,1
65,2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,0,0,0,0,0,0,0,0,0,0
66,2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,0,0,0,0,0,0,0,0,0
67,2008,200004,Western Carolina University,1,Main Campus,9050,0,0,0,0,0,1,0,0,0,1
68,2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,0,0,0,0,0,0,0,0,0,0
69,2009,197869,Appalachian State University,1,Main Campus,16968,0,0,1,0,0,0,0,1,0,2
70,2009,198464,East Carolina University,1,East Carolina University,27654,0,0,0,0,6,4,0,2,0,12
71,2009,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27654,0,0,0,0,0,0,0,0,0,0
72,2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,0,0,0,0,0,0,0,0,0,0
73,2009,198543,Fayetteville State University,1,Fayetteville State University,6283,0,0,0,0,0,0,0,0,0,0
74,2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,0,0,0,1,0,0,0,0,1
75,2009,199157,North Carolina Central University,1,North Carolina Central University,8587,0,0,0,0,1,1,0,3,0,5
