Arrests - Public Property
Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,1,1
2009,200004,Western Carolina University,1,Main Campus,9429,0,5,4
2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,2,0,5
2010,197869,Appalachian State University,1,Main Campus,17222,0,0,0
2010,197869,Appalachian State University,2,NCCET,17222,0,0,0
2010,197869,Appalachian State University,3,ASU Center at Hickory,17222,0,0,0
2010,197869,Appalachian State University,4,ASU Center at Caldwell,17222,0,0,0
2010,197869,Appalachian State University,5,ASU Center at Burke,17222,0,0,0
2010,198464,East Carolina University,1,East Carolina University,27783,1,8,18
2010,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27783,0,1,1
2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0
2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,0
2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,16,4
2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,4,2
2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,0
2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,1,0
2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,4,6
2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,1,0,0
2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,8,67,44
2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,0,0,0
2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,1,0,0
2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,2,0
2010,200004,Western Carolina University,1,Main Campus,9407,2,9,25
2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,0,0
2011,197869,Appalachian State University,1,Main Campus,17344,0,2,58
2011,197869,Appalachian State University,2,NCCET,17344,0,0,0
2011,197869,Appalachian State University,3,ASU Center at Hickory,17344,0,0,0
2011,197869,Appalachian State University,4,ASU Center at Caldwell,17344,0,0,0
2011,197869,Appalachian State University,5,ASU Center at Burke,17344,0,0,0
2011,198464,East Carolina University,1,East Carolina University,27386,1,20,37
2011,198464,East Carolina University,2,East Carolina University Brody School of Medicine,27386,0,1,0
2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,3,0
2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,1,0
2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,1,18,6
2011,199157,North Carolina Central University,1,North Carolina Central University,8359,1,2,0
2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,0,22,0
2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,1,0
2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,1,3
2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,1,0
2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,6,65,46
2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,0
2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,1
2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,0
2011,200004,Western Carolina University,1,Main Campus,9352,2,7,40
2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,0,0
2012,197869,Appalachian State University,1,Main Campus,17589,0,14,45
2012,197869,Appalachian State University,4,ASU Center at Caldwell,17589,0,0,0
2012,198464,East Carolina University,1,East Carolina University,26947,2,38,106
2012,198464,East Carolina University,2,East Carolina University Brody School of Medicine,26947,0,0,0
2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,3,0
2012,198543,Fayetteville State University,1,Fayetteville State University,6060,1,3,0
2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,3,32,6
2012,199157,North Carolina Central University,1,North Carolina Central University,8604,1,7,0
2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,0,0
2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,1,1
2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,3,8,24
2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,1,0
2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,2,20,10
2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,0
2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,0,1
2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,0
2012,200004,Western Carolina University,1,Main Campus,9608,0,16,16
2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,0
