,Arrests - On-campus Student Housing Facilities,,,,,,,,
ID,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
71,2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,1,15,12
72,2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,9,9
73,2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,1,27,20
74,2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,4,3,7
75,2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,2,39,35
76,2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,5,7
77,2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,2,0
78,2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,0
79,2009,200004,Western Carolina University,1,Main Campus,9429,0,12,4
80,2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,7,26,11
81,2010,197869,Appalachian State University,1,Main Campus,17222,0,68,67
82,2010,198464,East Carolina University,1,East Carolina University,27783,4,58,24
83,2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,6,3,0
84,2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,3,0
85,2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,3,19,13
86,2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,3,4
87,2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,2,15,20
88,2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,6,1
89,2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,1,14,26
90,2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,2,14,2
91,2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,1,48,47
92,2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,1,2,0
93,2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,1,4
94,2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,3,0
95,2010,200004,Western Carolina University,1,Main Campus,9407,0,26,27
96,2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,14,2
97,2011,197869,Appalachian State University,1,Main Campus,17344,1,106,108
98,2011,198464,East Carolina University,1,East Carolina University,27386,1,83,73
99,2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,1,1,0
100,2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,2,1
101,2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,4,22,6
102,2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,1,0
103,2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,2,30,14
104,2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,2,3
105,2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,3,15,3
106,2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,2,3,3
107,2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,4,44,56
108,2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,4
109,2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,3,6
110,2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,4,2
111,2011,200004,Western Carolina University,1,Main Campus,9352,1,18,21
112,2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,4,0
113,2012,197869,Appalachian State University,1,Main Campus,17589,1,88,122
114,2012,198464,East Carolina University,1,East Carolina University,26947,4,85,101
115,2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,1
116,2012,198543,Fayetteville State University,1,Fayetteville State University,6060,4,13,0
117,2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,1,21,7
118,2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,25,3
119,2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,1,33,2
120,2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,1,7,6
121,2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,26,5
122,2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,2,35,66
123,2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,57,49
124,2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,2,16,2
125,2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,1,2
126,2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,4,1
127,2012,200004,Western Carolina University,1,Main Campus,9608,1,4,25
128,2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,3,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
